Название;ССылка на прордукт;картинка;Цена;Характеристики
Кран шаровой VALTEC Base с полусгоном и наружной резьбой 3/4;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/valtec-kran-shar-base-s-polusgonom-3-4-nar-nar.html;https://tavago.ru/upload/resize_cache/iblock/d2c/240_240_1/d2c1ca87d2791769d0ce5fbe4b104fb3.jpg;Цена:746 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.226.N.05;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;3/4;;Рабочая температура;;от -20 до +120 °C;;Условная пропускная способность термостатического клапана;;44,4 м³/час;;Тип ручки;;бабочка"
Кран шаровой VALTEC Base 3/4 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-3-4-vn-vn.html;https://tavago.ru/upload/resize_cache/iblock/54e/240_240_1/54ec5861a8e9f68d9944da1774985587.jpg;Цена:467 руб.;";;Производитель;;VALTEC;;Гарантия;;10 лет;;Артикул производителя;;VT.214.N.05;;Материал изготовления;;никелированная латунь;;;Диаметр;; присоединения;3/4;;Рабочая температура;;от -20 до +150 °C;;Тип ручки;;рычаг;;Тип проходного сечения;;полнопроходной"
Кран шаровой VALTEC Base 1 ВН, бабочка;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-rukoyatka-babochka-1-vn-nar.html;https://tavago.ru/upload/resize_cache/iblock/85b/240_240_1/85b19009b61c4ec76e857a0cbbe2c412.jpg;Цена:871 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.218.N.06;Материал изготовления;никелированная латунь;;Диаметр; присоединения;1;Рабочая температура;от -20 до +150 °C;Тип ручки;бабочка;Тип проходного сечения;полнопроходной"
Кран шаровой VALTEC Base угловой с полусгоном 1 ВН;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/valtec-kran-shar-base-uglovoy-s-polusgonom-1-vn-nar.html;https://tavago.ru/upload/resize_cache/iblock/e43/240_240_1/e4356b01a206e55ff4cfc8c4d0b323fa.jpg;Цена:1 626 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.228.N.06;Материал изготовления;никелированная латунь;;Диаметр; присоединения;1;Рабочая температура;от -20 до +120 °C;Условная пропускная способность термостатического клапана;31,75 м³/час;Тип ручки;бабочка"
Кран шаровой VALTEC Base 3/4 НН, бабочка;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-rukoyatka-babochka-3-4-nar-nar.html;https://tavago.ru/upload/resize_cache/iblock/e25/240_240_1/e25ef33d783644c75f703370f921e245.jpg;Цена:517 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.219.N.05;Материал изготовления;никелированная латунь;;Диаметр; присоединения;3/4;Рабочая температура;от -20 до +150 °C;Тип ручки;бабочка;Тип проходного сечения;полнопроходной"
Кран шаровой VALTEC BASE с полусгоном 1/2 ВН с дополнительным уплотнением (белая рукоятка);https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/kran-sharovoy-valtec-base-s-polusgonom-1-2-vn-s-dopolnitelnym-uplotneniem-belaya-rukoyatka.html;https://tavago.ru/upload/resize_cache/iblock/961/240_240_1/961f4104e9092d19f7c034c0c2931a99.jpg;Цена:423 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.227.NRW.04;Материал изготовления;никелированная латунь;Пропускная способность;17.7 м³/ч;;Диаметр; присоединения;1/2;Рабочая температура;от -20 до 120 °C;Диаметр;1/2 "
Кран шаровой VALTEC Base 3 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/valtec-kran-shar-base-stalnaya-rukoyatka-3-vn-vn.html;https://tavago.ru/upload/resize_cache/iblock/9e1/240_240_1/9e1b60da9609626c276652b8b0170ebf.jpg;Цена:10 849 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.214.N.11;Материал изготовления;никелированная латунь;;Диаметр; присоединения;3;Рабочая температура;от -20 до +150 °C;Тип ручки;рычаг;Тип проходного сечения;полнопроходной"
Кран шаровой VALTEC BASE с полусгоном 3/4 ВН с дополнительным уплотнением (белая рукоятка);https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/kran-sharovoy-valtec-base-s-polusgonom-3-4-vn-s-dopolnitelnym-uplotneniem-belaya-rukoyatka.html;https://tavago.ru/upload/resize_cache/iblock/00e/240_240_1/00ec4e99179b3df87a2da7fbe49fedf0.jpg;Цена:663 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.227.NRW.05;Материал изготовления;никелированная латунь;Пропускная способность;44.4 м³/ч;;Диаметр; присоединения;3/4;Рабочая температура;от -20 до 120 °C;Диаметр;3/4 "
Кран шаровой VALTEC Base 1/2 ВН, бабочка;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/valtec-kran-shar-base-rukoyatka-babochka-1-2-vn-nar.html;https://tavago.ru/upload/resize_cache/iblock/a60/240_240_1/a6018bdbc3f43cac43669f3038f8f826.jpg;Цена:302 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.218.N.04;Материал изготовления;никелированная латунь;;Диаметр; присоединения;1/2;Рабочая температура;от -20 до +150 °C;Тип ручки;бабочка;Тип проходного сечения;полнопроходной"
Кран шаровой VALTEC BASE угловой с полусгоном 1/2 ВН с дополнительным уплотнением (белая рукоятка);https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/kran-sharovoy-valtec-base-uglovoy-s-polusgonom-1-2-vn-s-dopolnitelnym-uplotneniem-belaya-rukoyatka.html;https://tavago.ru/upload/resize_cache/iblock/b6b/240_240_1/b6b85759d67676240b2e3863ea95598a.jpg;Цена:592 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.228.NRW.04;Материал изготовления;никелированная латунь;Пропускная способность;10.32 м³/ч;;Диаметр; присоединения;1/2;Рабочая температура;от -20 до 120 °C;Тип ручки;бабочка"
Кран шаровой VALTEC Base с полусгоном и наружной резьбой 1/2;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/valtec-kran-shar-base-s-polusgonom-1-2-nar-nar.html;https://tavago.ru/upload/resize_cache/iblock/217/240_240_1/217d030e59f9c5e89215fdf7886e9c90.jpg;Цена:528 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.226.N.04;Материал изготовления;никелированная латунь;;Диаметр; присоединения;1/2;Рабочая температура;от -20 до +120 °C;Условная пропускная способность термостатического клапана;17,7 м³/час;Тип ручки;бабочка"
Кран шаровой VALTEC BASE угловой с полусгоном 3/4 ВН с дополнительным уплотнением (белая рукоятка);https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/kran-sharovoy-valtec-base-uglovoy-s-polusgonom-3-4-vn-s-dopolnitelnym-uplotneniem-belaya-rukoyatka.html;https://tavago.ru/upload/resize_cache/iblock/7ce/240_240_1/7ceacbce3346eeb602abee142ed50c8d.jpg;Цена:916 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.228.NRW.05;Материал изготовления;никелированная латунь;Пропускная способность;20.16 м³/ч;;Диаметр; присоединения;3/4;Рабочая температура;от -20 до 120 °C;Тип ручки;бабочка"
Кран шаровой VALTEC Base с полусгоном и наружной резьбой 3/4;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/valtec-kran-shar-base-s-polusgonom-3-4-nar-nar.html;https://tavago.ru/upload/resize_cache/iblock/d2c/240_240_1/d2c1ca87d2791769d0ce5fbe4b104fb3.jpg;Цена:746 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.226.N.05;Материал изготовления;никелированная латунь;;Диаметр; присоединения;3/4;Рабочая температура;от -20 до +120 °C;Условная пропускная способность термостатического клапана;44,4 м³/час;Тип ручки;бабочка"
Кран шаровой VALTEC Base 3/4 ВВ, рычаг;https://tavago.ru/armatura-dlya-obvyazki-truboprovodov/sharovye-krany-zadvizhki/valtec/seriya-base/sharovyy-kran-valtec-base-stalnaya-rukoyatka-3-4-vn-vn.html;https://tavago.ru/upload/resize_cache/iblock/54e/240_240_1/54ec5861a8e9f68d9944da1774985587.jpg;Цена:467 руб.;";Производитель;VALTEC;Гарантия;10 лет;Артикул производителя;VT.214.N.05;Материал изготовления;никелированная латунь;;Диаметр; присоединения;3/4;Рабочая температура;от -20 до +150 °C;Тип ручки;рычаг;Тип проходного сечения;полнопроходной"
